base_impl,device,metric_mean,metric_std,metric_count,status,attrCount,revealRatio
sd-jwt,desktop,2.7358734799999547,0.6247352937514175,50.0,present,7,0.8
sd-jwt,mobile,24.94946616000001,2.6370697040317777,50.0,present,7,0.8
sd-jwt,raspberry_pi,44.24907021999985,4.924930093756042,50.0,present,7,0.8
sd-jwt,smartwatch,61.45688304000039,9.030488324815149,50.0,present,7,0.8
bbs+(Rust),desktop,85.90399698000009,1.5414596965855483,50.0,present,7,0.8
bbs+(Rust),mobile,309.10324626000016,12.745622806640442,50.0,present,7,0.8
bbs+(Rust),raspberry_pi,1595.3604856792092,8.795651309104173,50.0,present,7,0.8
bbs+(Rust),smartwatch,4263.433939480083,37.273169291567335,50.0,present,7,0.8
bbs2023(Rust),desktop,43.7717483800005,2.2474902594847106,50.0,present,7,0.8
bbs2023(Rust),mobile,176.86676152000058,7.427013871779045,50.0,present,7,0.8
bbs2023(Rust),raspberry_pi,948.8963000796736,5.5783100518656275,50.0,present,7,0.8
bbs2023(Rust),smartwatch,1386.334104640009,33.19988211606666,50.0,present,7,0.8
bbs2023(JS),desktop,190.89453342000053,3.7255181277004863,50.0,present,7,0.8
bbs2023(JS),mobile,911.6427723199897,11.218911219621894,50.0,present,7,0.8
bbs2023(JS),raspberry_pi,4334.633302339996,18.418592104901823,50.0,present,7,0.8
bbs2023(JS),smartwatch,,,,missing,7,0.8
