base_impl,device,metric_mean,metric_std,metric_count,status,attrCount,revealRatio
sd-jwt,desktop,0.19562212000000723,0.042605832271813804,50,present,6,0.8
sd-jwt,mobile,2.5603507999999784,0.508613457394822,50,present,6,0.8
sd-jwt,raspberry_pi,2.928438839999944,0.937478305557635,50,present,6,0.8
sd-jwt,smartwatch,4.325800000000308,3.5075389164641955,50,present,6,0.8
bbs+(Rust),desktop,25.73451497999995,0.9504561776649358,50,present,6,0.8
bbs+(Rust),mobile,83.38793078000076,0.5368757562621861,50,present,6,0.8
bbs+(Rust),raspberry_pi,480.38381889909505,1.2457897370103999,50,present,6,0.8
bbs+(Rust),smartwatch,1305.8013940000162,5.879177457985054,50,present,6,0.8
bbs2023(Rust),desktop,7.424240419999842,0.47794734856609805,50,present,6,0.8
bbs2023(Rust),mobile,25.94886006000015,0.2109010610006666,50,present,6,0.8
bbs2023(Rust),raspberry_pi,167.86158038035035,1.3506684395208879,50,present,6,0.8
bbs2023(Rust),smartwatch,248.8552515799948,4.4170855404074425,50,present,6,0.8
bbs2023(JS),desktop,67.00465475999926,0.9279996224053475,50,present,6,0.8
bbs2023(JS),mobile,309.00798919999625,3.1820778123239104,50,present,6,0.8
bbs2023(JS),raspberry_pi,1534.6165022199973,11.638050786353066,50,present,6,0.8
bbs2023(JS),smartwatch,3236.64575322004,40.649106600742535,50,present,6,0.8
